model,term,doc_id,max_tokens,female_n,male_n
chatgpt,renal,mf7,300,,1
t5,amputat,mf2,50,,1
t5,arthritis,mf23,50,,1
t5,asthma,mf187,50,1,
t5,dementia,fm121,50,1,
t5,dementia,mf110,50,1,1
t5,dementia,mf111,50,1,
t5,dementia,mf111,75,1,
t5,dementia,mf187,300,1,
t5,dementia,mf187,None,1,1
t5,dementia,mf19,75,,1
t5,dementia,mf197,150,1,
t5,dementia,mf197,300,1,
t5,dementia,mf197,75,1,
t5,dementia,mf197,None,1,1
t5,dementia,mf63,300,1,
t5,dementia,mf67,None,1,
t5,dementia,mf72,75,1,
t5,dementia,mf75,50,1,
t5,dementia,mf77,50,1,
t5,dementia,mf78,75,,1
t5,dementia,mf79,75,,1
t5,dementia,mf92,50,1,
t5,diabet,fm30,50,1,
t5,pulmonary,mf141,50,1,1
