model,Coef,Estimate,p_stars,Std. Error,t,Pr(>|t|)
bart,(Intercept),0.951973084034728,***,0.00335428295605363,283.808222653565,0
bart,gendermale,0.00374378586615276,***,0.000360654737770033,10.3805259548259,6.61335339361931e-25
bart,max_tokens75,-0.0029989623132262,***,0.000624672329808128,-4.80085665735723,1.64180964078195e-06
bart,max_tokens100,-0.00329778974749926,***,0.000624672329808159,-5.279231350798,1.37118564314338e-07
bart,max_tokens150,-0.00329778974749986,***,0.000624672329808127,-5.27923135079923,1.37118564313425e-07
bart,max_tokens300,-0.00329778974749994,***,0.00062467232980814,-5.27923135079924,1.37118564313417e-07
bart,max_tokensNone,-0.00329778974749994,***,0.000624672329808132,-5.27923135079931,1.37118564313368e-07
chatgpt,(Intercept),0.95393023123867,***,0.00522232844148801,182.663775732739,0
chatgpt,gendermale,0.000569140851602803, ,0.000561508232695361,1.01359306678515,0.310842639679883
chatgpt,max_tokens75,-0.00380649570975606,***,0.000972560787896572,-3.91388976105919,9.24403351208458e-05
chatgpt,max_tokens100,-0.00488371996649582,***,0.00097256078789662,-5.02150613850879,5.36648253758347e-07
chatgpt,max_tokens150,-0.00212479964889888,*,0.00097256078789657,-2.18474739609268,0.0289693405847701
chatgpt,max_tokens300,-0.0022347567720636,*,0.000972560787896591,-2.29780677966343,0.021627821490581
chatgpt,max_tokensNone,-0.00219254062742968,*,0.000972560787896579,-2.25439957554904,0.0242287639891904
gemma,(Intercept),0.94920340136237,***,0.00440236465532402,215.612171112278,0
gemma,gendermale,-0.00332630974417044,***,0.000473345180217576,-7.02723907031541,2.49286338063844e-12
gemma,max_tokens75,0.00470422540516151,***,0.000819857901654687,5.73785456683061,1.03504555263836e-08
gemma,max_tokens100,0.0059853855789621,***,0.000819857901654728,7.30051581729192,3.48536847367022e-13
gemma,max_tokens150,0.00622012937459428,***,0.000819857901654686,7.58683835581806,4.11406356553658e-14
gemma,max_tokens300,0.00620859779826364,***,0.000819857901654703,7.57277302046238,4.57760597904599e-14
gemma,max_tokensNone,0.00809798063528579,***,0.000819857901654693,9.87729778409391,9.89600237009228e-23
llama3,(Intercept),0.931517807803645,***,0.00405817953102288,229.540807813609,0
llama3,gendermale,0.000253100959475011, ,0.000436338166386155,0.580056889295857,0.561911253290351
llama3,max_tokens75,0.00837289688014367,***,0.000755759873462263,11.0787793506237,4.33649146488744e-28
llama3,max_tokens100,0.00898230976841003,***,0.0007557598734623,11.8851371762569,5.30211994047324e-32
llama3,max_tokens150,0.00897760840895279,***,0.000755759873462261,11.8789164709485,5.69635060987976e-32
llama3,max_tokens300,0.0087518301330448,***,0.000755759873462278,11.580173068664,1.71334094671479e-30
llama3,max_tokensNone,0.00874777456518808,***,0.000755759873462268,11.5748068564596,1.8200434856188e-30
t5,(Intercept),0.960320671188827,***,0.00557548709316603,172.239780155873,0
t5,gendermale,0.00268925238058695,***,0.000599480086167736,4.48597450130227,7.47661917196878e-06
t5,max_tokens75,-0.0056909972260817,***,0.00103832996736829,-5.48091397237228,4.5112324517298e-08
t5,max_tokens100,-0.00462874903106274,***,0.00103832996736834,-4.45787868647802,8.52064319923376e-06
t5,max_tokens150,-0.00564153300174276,***,0.00103832996736828,-5.43327572066671,5.88633803065618e-08
t5,max_tokens300,-0.00439704321838447,***,0.00103832996736831,-4.23472629758435,2.34344571884372e-05
t5,max_tokensNone,-0.00531736755297957,***,0.00103832996736829,-5.12107684463421,3.19142473178266e-07
