model,Coef,Estimate,p_stars,Std. Error,t,Pr(>|t|)
bart,(Intercept),0.475385160623482,***,0.0272304261363732,17.4578671021415,1.13880164395254e-65
bart,gendermale,-0.00131575998845984, ,0.00292783355675344,-0.449397126904591,0.65317128628762
bart,max_tokens75,0.0497388700661053,***,0.00507115647640205,9.80819075442821,1.93334628320749e-22
bart,max_tokens100,0.0469314124843808,***,0.0050711564764023,9.25457786656113,3.52843018658568e-20
bart,max_tokens150,0.0469314124843766,***,0.00507115647640203,9.25457786656077,3.52843018659717e-20
bart,max_tokens300,0.0469314124843784,***,0.00507115647640215,9.25457786656093,3.52843018659207e-20
bart,max_tokensNone,0.0469314124843775,***,0.00507115647640208,9.25457786656087,3.52843018659391e-20
chatgpt,(Intercept),0.61208550061234,***,0.0403131889252806,15.1832568181799,1.4353315142092e-50
chatgpt,gendermale,-0.00856905753185224,*,0.00433450092642942,-1.97694213873685,0.048121622853583
chatgpt,max_tokens75,0.121756194285022,***,0.00750757583003012,16.2177774879076,3.26246813151526e-57
chatgpt,max_tokens100,0.211271085573984,***,0.00750757583003049,28.1410524991162,3.45708824699428e-158
chatgpt,max_tokens150,0.29714224971111,***,0.0075075758300301,39.5789874705693,2.14150908678493e-286
chatgpt,max_tokens300,0.326462946693231,***,0.00750757583003027,43.4844687665199,0
chatgpt,max_tokensNone,0.329442977908652,***,0.00750757583003018,43.8814053120697,0
gemma,(Intercept),0.846607413246748,***,0.0378880537025194,22.344969733572,6.59519725132165e-104
gemma,gendermale,-0.037765557625181,***,0.00407374877186139,-9.27046799892008,3.05059596450764e-20
gemma,max_tokens75,0.0610061392658642,***,0.00705593985013524,8.64606849854239,7.7873827938572e-18
gemma,max_tokens100,0.0612685882917182,***,0.00705593985013559,8.68326397234535,5.65460302479158e-18
gemma,max_tokens150,0.0662715218098831,***,0.00705593985013523,9.39230254472946,9.9191792989311e-21
gemma,max_tokens300,0.0756321155363168,***,0.00705593985013539,10.7189286108874,2.00245947792541e-26
gemma,max_tokensNone,0.0988879387013957,***,0.0070559398501353,14.0148500131417,1.5739692822141e-43
llama3,(Intercept),0.639010356932072,***,0.0362815051409635,17.6125647061593,9.21454917566153e-67
llama3,gendermale,-0.00160158984245669, ,0.00390101160037827,-0.410557569811224,0.681420538083542
llama3,max_tokens75,0.219567024808265,***,0.00675675029277073,32.4959507595222,3.2286680346186e-204
llama3,max_tokens100,0.248724947469882,***,0.00675675029277106,36.8113274418309,2.27896065330729e-253
llama3,max_tokens150,0.274048471506546,***,0.00675675029277072,40.559212584748,2.4830668476255e-298
llama3,max_tokens300,0.278762190027088,***,0.00675675029277086,41.25684359319,6.78371588781457e-307
llama3,max_tokensNone,0.282975467584304,***,0.00675675029277078,41.8804092682049,1.11253760562108e-308
t5,(Intercept),0.564059936958957,***,0.0597263433995068,9.44407283040895,6.12849994708042e-21
t5,gendermale,0.00650202694580712, ,0.00642181622687401,1.01249034791707,0.311369261221483
t5,max_tokens75,-0.0678099008114567,***,0.011122911981816,-6.09641620128917,1.19494533785585e-09
t5,max_tokens100,-0.0224758636335547,*,0.0111229119818166,-2.02068160480795,0.043383979924389
t5,max_tokens150,0.00453412686568547, ,0.011122911981816,0.407638473908448,0.683562482912612
t5,max_tokens300,0.0702123681546098,***,0.0111229119818163,6.31240886104224,3.06916615912195e-10
t5,max_tokensNone,0.0863973791501031,***,0.0111229119818161,7.76751441451184,1.02680772826188e-14
